# stamp x y z yaw vx vy vz angular_v
0.177000 0.000000 0.000000 -0.000709 0.000000 0.000001 -0.000016 -0.088711 -0.000009
0.197000 0.000001 0.000000 -0.001311 0.000000 -0.000010 -0.000010 -0.110497 -0.000003
0.217000 0.000002 0.000000 -0.001549 0.000000 -0.000020 -0.000014 -0.115420 -0.000004
0.237000 0.000004 0.000000 -0.001626 0.000000 -0.000025 -0.000014 -0.116533 -0.000004
0.257000 0.000006 0.000000 -0.001648 0.000000 -0.000027 -0.000014 -0.116785 -0.000004
0.277000 0.000008 0.000000 -0.001655 0.000000 -0.000028 -0.000014 -0.116842 -0.000004
0.297000 0.000009 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116855 -0.000004
0.317000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116858 -0.000004
0.337000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.357000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.377000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.397000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.417000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.437000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.457000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.477000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.497000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.517000 0.000547 0.000155 -0.001655 0.000271 0.009396 0.008502 -0.116738 -0.007940
0.537000 0.001193 0.000150 -0.001654 0.000243 0.008888 -0.008401 -0.116765 -0.027916
0.557000 0.001802 0.000111 -0.001655 0.000180 0.008730 -0.000710 -0.116819 -0.018392
0.577000 0.002421 0.000151 -0.001656 0.000207 0.008737 -0.002035 -0.116840 -0.018979
0.597000 0.003033 0.000143 -0.001657 0.000190 0.008639 -0.003790 -0.116839 -0.019209
0.617000 0.004865 -0.000004 -0.001655 -0.000101 0.089474 -0.009545 -0.116726 -0.008957
0.637000 0.008884 0.000022 -0.001654 -0.000051 0.187858 0.005249 -0.116753 0.006178
0.657000 0.014811 0.000040 -0.001655 -0.000028 0.284112 -0.002506 -0.116798 -0.002337
0.677000 0.022644 0.000009 -0.001655 -0.000053 0.379982 0.000052 -0.116816 0.000684
0.697000 0.032388 0.000021 -0.001656 -0.000033 0.475775 0.000166 -0.116822 0.000580
0.717000 0.044048 0.000014 -0.001656 -0.000034 0.571550 -0.000497 -0.116824 -0.000102
0.737000 0.057622 0.000011 -0.001656 -0.000031 0.667319 -0.000035 -0.116824 0.000365
0.757000 0.073112 0.000011 -0.001656 -0.000027 0.763083 -0.000175 -0.116824 0.000173
0.777000 0.090517 0.000008 -0.001656 -0.000025 0.858843 -0.000124 -0.116823 0.000208
0.797000 0.109837 0.000008 -0.001656 -0.000021 0.954600 -0.000088 -0.116823 0.000215
0.817000 0.131073 0.000007 -0.001656 -0.000019 1.050352 -0.000116 -0.116823 0.000160
0.837000 0.154223 0.000006 -0.001656 -0.000017 1.146100 -0.000090 -0.116823 0.000168
0.857000 0.179288 0.000005 -0.001656 -0.000015 1.241844 -0.000079 -0.116822 0.000158
0.877000 0.206268 0.000004 -0.001656 -0.000013 1.337583 -0.000082 -0.116822 0.000137
0.897000 0.235163 0.000004 -0.001656 -0.000011 1.433319 -0.000062 -0.116822 0.000140
0.917000 0.265972 0.000004 -0.001656 -0.000009 1.529049 -0.000010 -0.116823 0.000175
0.937000 0.298696 0.000005 -0.001656 -0.000007 1.624776 0.000004 -0.116824 0.000164
0.957000 0.333335 0.000006 -0.001656 -0.000005 1.720499 -0.000005 -0.116824 0.000134
0.977000 0.369888 0.000006 -0.001656 -0.000004 1.816218 -0.000042 -0.116825 0.000082
0.997000 0.408355 0.000006 -0.001656 -0.000003 1.911932 -0.000009 -0.116826 0.000106
1.017000 0.448736 0.000007 -0.001656 -0.000002 2.007643 -0.000072 -0.116827 0.000029
1.037000 0.491032 0.000006 -0.001656 -0.000003 2.103349 -0.000068 -0.116828 0.000036
1.057000 0.535242 0.000005 -0.001656 -0.000003 2.199052 -0.000053 -0.116828 0.000047
1.077000 0.581366 0.000005 -0.001656 -0.000003 2.294750 -0.000060 -0.116829 0.000035
1.097000 0.629404 0.000004 -0.001656 -0.000003 2.390444 -0.000056 -0.116830 0.000037
1.117000 0.679355 0.000004 -0.001656 -0.000003 2.486134 -0.000045 -0.116831 0.000044
1.137000 0.731221 0.000004 -0.001656 -0.000003 2.581821 -0.000045 -0.116831 0.000040
1.157000 0.785000 0.000003 -0.001656 -0.000003 2.677503 -0.000043 -0.116832 0.000037
1.177000 0.840692 0.000003 -0.001656 -0.000002 2.773181 -0.000040 -0.116833 0.000041
1.197000 0.898299 0.000003 -0.001656 -0.000002 2.868856 -0.000042 -0.116833 0.000039
1.217000 0.957818 0.000002 -0.001656 -0.000002 2.964526 -0.000039 -0.116833 0.000042
1.237000 1.019251 0.000002 -0.001656 -0.000002 3.060193 -0.000039 -0.116833 0.000041
1.257000 1.082598 0.000002 -0.001656 -0.000002 3.155855 -0.000039 -0.116833 0.000040
1.277000 1.147857 0.000002 -0.001656 -0.000002 3.251514 -0.000038 -0.116833 0.000040
1.297000 1.215030 0.000001 -0.001656 -0.000002 3.347168 -0.000038 -0.116833 0.000039
1.317000 1.284116 0.000001 -0.001656 -0.000001 3.442819 -0.000015 -0.116833 0.000061
1.337000 1.355114 0.000002 -0.001656 -0.000001 3.538465 -0.000014 -0.116833 0.000057
1.357000 1.428026 0.000002 -0.001656 -0.000000 3.634107 -0.000024 -0.116833 0.000044
1.377000 1.502850 0.000002 -0.001656 -0.000001 3.729745 -0.000043 -0.116833 0.000025
1.397000 1.579588 0.000002 -0.001656 -0.000001 3.825380 -0.000035 -0.116833 0.000035
1.417000 1.658237 0.000001 -0.001656 -0.000001 3.921010 -0.000045 -0.116833 0.000025
1.437000 1.738800 0.000001 -0.001656 -0.000001 4.016636 -0.000046 -0.116833 0.000026
1.457000 1.821274 0.000001 -0.001656 -0.000001 4.112258 -0.000043 -0.116833 0.000031
1.477000 1.905662 0.000001 -0.001656 -0.000001 4.207876 -0.000036 -0.116833 0.000038
1.497000 1.991961 0.000001 -0.001656 -0.000001 4.303489 -0.000039 -0.116833 0.000033
1.517000 2.080173 0.000001 -0.001656 -0.000001 4.399099 -0.000034 -0.116833 0.000038
1.537000 2.170297 0.000001 -0.001656 -0.000001 4.494705 -0.000033 -0.116833 0.000038
1.557000 2.262333 0.000000 -0.001656 -0.000001 4.590307 -0.000033 -0.116833 0.000036
1.577000 2.356281 0.000000 -0.001656 -0.000000 4.685904 -0.000033 -0.116833 0.000036
1.597000 2.452140 0.000000 -0.001656 -0.000000 4.781498 -0.000031 -0.116833 0.000037
1.617000 2.549912 0.000000 -0.001656 -0.000000 4.877088 -0.000025 -0.116833 0.000044
1.637000 2.649596 0.000000 -0.001656 -0.000000 4.972673 -0.000024 -0.116833 0.000044
1.657000 2.751191 0.000001 -0.001656 -0.000000 5.068255 -0.000027 -0.116833 0.000040
1.677000 2.854697 0.000000 -0.001656 -0.000000 5.163832 -0.000035 -0.116833 0.000033
1.697000 2.960115 0.000000 -0.001656 -0.000000 5.259405 -0.000031 -0.116833 0.000038
1.717000 3.067445 0.000000 -0.001656 -0.000000 5.354975 -0.000040 -0.116833 0.000030
1.737000 3.176686 0.000000 -0.001656 -0.000000 5.450540 -0.000041 -0.116833 0.000030
1.757000 3.287838 -0.000000 -0.001656 -0.000000 5.546101 -0.000036 -0.116833 0.000036
1.777000 3.400902 -0.000000 -0.001656 -0.000000 5.641658 -0.000022 -0.116833 0.000048
1.797000 3.515876 0.000000 -0.001656 -0.000000 5.737211 -0.000028 -0.116833 0.000040
1.817000 3.632762 0.000000 -0.001656 -0.000000 5.832760 -0.000031 -0.116833 0.000036
1.837000 3.751558 0.000000 -0.001656 0.000000 5.928305 -0.000031 -0.116833 0.000037
1.857000 3.872265 0.000000 -0.001656 0.000000 6.023846 -0.000032 -0.116833 0.000036
1.877000 3.994883 0.000000 -0.001656 0.000000 6.119383 -0.000037 -0.116833 0.000032
1.897000 4.119412 0.000000 -0.001656 0.000000 6.214916 -0.000035 -0.116833 0.000036
