# stamp x y z yaw linear_v angular_v
1.939000 4.566270 -0.000090 -0.001657 -0.000097 5.555202 -0.013470
1.959000 4.677377 -0.000262 -0.001657 -0.000238 5.555407 0.015002
1.979000 4.788498 0.000274 -0.001657 0.000296 5.556071 0.026368
1.999000 4.899620 0.000754 -0.001657 0.000767 5.555994 0.022563
2.019000 5.010737 0.000785 -0.001657 0.000714 5.555276 -0.015942
2.039000 5.121844 0.000601 -0.001657 0.000449 5.555267 -0.010589
2.059000 5.232952 0.000479 -0.001657 0.000274 5.555358 -0.004320
2.079000 5.344063 0.000468 -0.001657 0.000222 5.555448 -0.002741
2.099000 5.455174 0.000429 -0.001657 0.000159 5.555438 -0.003323
2.119000 5.566282 0.000162 -0.001657 -0.000132 5.555113 -0.020146
2.139000 5.677386 -0.000225 -0.001657 -0.000513 5.555099 -0.017878
2.159000 5.788491 -0.000516 -0.001657 -0.000728 5.555303 0.012900
2.179000 5.899610 -0.000079 -0.001657 -0.000241 5.556027 0.023648
2.199000 6.010732 0.000286 -0.001657 0.000173 5.555945 0.019699
2.219000 6.121850 0.000371 -0.001657 0.000240 5.555440 -0.006846
2.239000 6.232961 0.000287 -0.001657 0.000133 5.555421 -0.003591
2.259000 6.344071 0.000227 -0.001657 0.000050 5.555392 -0.006691
2.279000 6.455181 0.000073 -0.001657 -0.000109 5.555334 -0.007890
2.299000 6.566290 -0.000086 -0.001657 -0.000261 5.555340 -0.007480
2.319000 6.677404 0.000166 -0.001657 0.000028 5.555998 0.028283
2.339000 6.788528 0.000686 -0.001657 0.000551 5.556028 0.023513
2.359000 6.899650 0.001083 -0.001657 0.000874 5.555838 -0.007654
2.379000 7.010757 0.000759 -0.001657 0.000487 5.555119 -0.018678
2.399000 7.121862 0.000520 -0.001657 0.000174 5.555180 -0.014696
2.419000 7.232971 0.000438 -0.001657 0.000067 5.555459 0.000059
2.439000 7.344083 0.000430 -0.001657 0.000049 5.555471 -0.002003
2.459000 7.455194 0.000364 -0.001657 -0.000031 5.555365 -0.010109
2.479000 7.566302 0.000091 -0.001657 -0.000295 5.555219 -0.013202
