# stamp x y z yaw linear_v angular_v
0.179000 0.000000 0.000000 -0.000709 0.000000 0.000001 -0.000009
0.199000 0.000001 0.000000 -0.001311 0.000000 -0.000010 -0.000003
0.219000 0.000002 0.000000 -0.001549 0.000000 -0.000020 -0.000004
0.239000 0.000004 0.000000 -0.001626 0.000000 -0.000025 -0.000004
0.259000 0.000006 0.000000 -0.001648 0.000000 -0.000027 -0.000004
0.279000 0.000008 0.000000 -0.001655 0.000000 -0.000028 -0.000004
0.299000 0.000009 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.319000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.339000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.359000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.379000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.399000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.419000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.439000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.459000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.479000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.499000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.519000 0.000029 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.539000 0.000030 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.559000 0.000032 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.579000 0.000034 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.599000 0.000036 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.619000 0.000037 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.639000 0.000039 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.659000 0.000041 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.679000 0.000043 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.699000 0.000044 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.719000 0.000046 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.739000 0.000048 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.759000 0.000050 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.779000 0.000051 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.799000 0.000053 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.819000 0.000055 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.839000 0.000057 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.859000 0.002449 -0.000027 -0.001654 -0.000028 0.109005 -0.003195
0.879000 0.006860 -0.000126 -0.001653 -0.000124 0.206993 -0.005255
0.899000 0.013168 -0.000200 -0.001654 -0.000182 0.302920 0.004230
0.919000 0.021373 -0.000025 -0.001655 0.000015 0.398595 0.009946
0.939000 0.031491 0.000124 -0.001656 0.000161 0.494475 0.006114
0.959000 0.043525 0.000252 -0.001656 0.000271 0.590252 0.005542
0.979000 0.057473 0.000412 -0.001656 0.000400 0.685980 0.007070
0.999000 0.073336 0.000541 -0.001656 0.000482 0.781675 -0.003446
1.019000 0.091112 0.000443 -0.001656 0.000330 0.877414 -0.006412
1.039000 0.110804 0.000413 -0.001656 0.000264 0.973192 -0.002274
1.059000 0.132412 0.000387 -0.001656 0.000209 1.068939 -0.003103
1.079000 0.155934 0.000347 -0.001656 0.000146 1.164685 -0.002979
1.099000 0.181370 0.000253 -0.001656 0.000034 1.260258 -0.012210
1.119000 0.208717 -0.000070 -0.001656 -0.000293 1.355915 -0.015493
1.139000 0.237979 -0.000360 -0.001656 -0.000550 1.451661 -0.010475
1.159000 0.269138 -0.000007 -0.001656 -0.000123 1.545999 0.040005
1.179000 0.302205 0.000621 -0.001656 0.000514 1.642166 0.021171
1.199000 0.337178 0.000723 -0.001656 0.000543 1.735620 -0.036846
1.219000 0.374010 -0.000479 -0.001656 -0.000724 1.830267 -0.058120
1.239000 0.412773 -0.001349 -0.001656 -0.001506 1.926792 -0.028164
1.259000 0.453388 -0.000843 -0.001656 -0.000805 2.017105 0.075239
1.279000 0.495848 0.001030 -0.001655 0.001156 2.112329 0.078697
1.299000 0.540220 0.001673 -0.001656 0.001638 2.204714 -0.013849
1.319000 0.586365 0.000062 -0.001648 -0.000182 2.293898 -0.115008
1.339000 0.634333 -0.002918 -0.001646 -0.003139 2.387153 -0.124579
1.359000 0.684087 -0.003717 -0.001602 -0.003540 2.474318 0.002861
1.379000 0.735593 -0.001898 -0.001354 -0.001298 2.563791 0.116034
1.399000 0.788901 0.001465 -0.001357 0.002207 2.655035 0.173915
1.419000 0.844147 0.004038 -0.001522 0.004502 2.754357 0.072914
1.439000 0.901395 0.005091 -0.001607 0.005040 2.851967 0.019423
1.459000 0.960533 0.004878 -0.001640 0.004244 2.944487 -0.080430
1.479000 1.021551 0.003439 -0.001650 0.002338 3.040037 -0.077486
1.499000 1.084506 0.002810 -0.001654 0.001467 3.136683 -0.012489
1.519000 1.149384 0.002986 -0.001655 0.001482 3.232365 -0.007656
1.539000 1.216171 0.002717 -0.001656 0.001044 3.327878 -0.025643
1.559000 1.284872 0.002426 -0.001656 0.000639 3.423592 -0.016596
1.579000 1.355486 0.002141 -0.001656 0.000282 3.519200 -0.019587
1.599000 1.428006 0.001576 -0.001656 -0.000322 3.613789 -0.052659
1.619000 1.502410 0.000069 -0.001656 -0.001799 3.708614 -0.074248
1.639000 1.578730 -0.001343 -0.001656 -0.003004 3.804274 -0.048319
1.659000 1.656893 -0.001065 -0.001653 -0.002358 3.895276 0.058708
1.679000 1.736878 0.001332 -0.001634 0.000320 3.986705 0.156540
1.699000 1.818708 0.004209 -0.001641 0.003129 4.078704 0.107883
1.719000 1.902384 0.004371 -0.001482 0.002902 4.172895 -0.027588
1.739000 1.987928 0.002379 -0.001301 0.000567 4.266577 -0.125697
1.759000 2.075341 -0.000357 -0.001426 -0.002215 4.361082 -0.104864
1.779000 2.164690 -0.001497 -0.001567 -0.003079 4.458007 -0.003641
1.799000 2.255977 -0.001666 -0.001626 -0.002899 4.553243 0.026197
1.819000 2.349175 -0.001217 -0.001647 -0.002127 4.648676 0.035913
1.839000 2.444289 -0.000900 -0.001653 -0.001578 4.744295 0.025957
1.859000 2.541297 0.000177 -0.001655 -0.000311 4.838298 0.086771
1.879000 2.640207 0.001726 -0.001656 0.001266 4.934246 0.066269
1.899000 2.741016 0.002599 -0.001656 0.001975 5.027494 0.002564
1.919000 2.843655 0.001172 -0.001634 0.000296 5.119804 -0.103605
1.939000 2.948142 -0.002104 -0.001622 -0.003033 5.212322 -0.177345
1.959000 3.054549 -0.004659 -0.001639 -0.005209 5.309926 -0.065176
1.979000 3.162845 -0.005456 -0.001647 -0.005403 5.407844 0.007811
1.999000 3.272680 -0.006303 -0.001652 -0.005581 5.502262 0.008790
2.019000 3.383651 -0.005997 -0.001655 -0.004696 5.559706 0.049827
2.039000 3.494801 -0.005766 -0.001656 -0.003896 5.556301 0.040336
2.059000 3.605939 -0.004604 -0.001657 -0.002272 5.556847 0.098298
2.079000 3.717086 -0.003103 -0.001657 -0.000467 5.556915 0.084584
2.099000 3.828226 -0.001554 -0.001657 0.001184 5.556306 0.083084
2.119000 3.939356 0.000222 -0.001657 0.002873 5.555575 0.085271
2.139000 4.050477 0.002176 -0.001657 0.004539 5.554873 0.077056
2.159000 4.161588 0.002489 -0.001656 0.004348 5.555101 -0.054109
2.179000 4.272664 0.001555 -0.001655 0.002964 5.552742 -0.057885
2.199000 4.383749 0.001049 -0.001656 0.002049 5.554459 -0.051052
2.219000 4.494839 0.000190 -0.001657 0.000949 5.554317 -0.054998
2.239000 4.605927 -0.000757 -0.001657 -0.000142 5.554241 -0.058893
2.259000 4.717000 -0.002659 -0.001657 -0.002066 5.553505 -0.112860
2.279000 4.828068 -0.004921 -0.001657 -0.004159 5.553419 -0.098678
2.299000 4.939134 -0.006491 -0.001658 -0.005203 5.553423 -0.015298
2.319000 5.050252 -0.005504 -0.001652 -0.003723 5.556406 0.102821
2.339000 5.161358 -0.003700 -0.001651 -0.001489 5.552301 0.094098
2.359000 5.272466 -0.003506 -0.001654 -0.001032 5.556639 -0.004503
2.379000 5.383588 -0.003465 -0.001656 -0.000875 5.555793 0.017429
2.399000 5.494709 -0.002855 -0.001657 -0.000130 5.556645 0.072881
2.419000 5.605848 -0.001212 -0.001657 0.001523 5.556771 0.079961
2.439000 5.717006 0.000352 -0.001657 0.002938 5.558696 0.061815
2.459000 5.828149 -0.000151 -0.001655 0.002066 5.559495 -0.075715
2.479000 5.939223 -0.002837 -0.001646 -0.000804 5.550780 -0.167673
2.499000 6.050207 -0.005447 -0.001649 -0.003288 5.547379 -0.093924
2.519000 6.161254 -0.005407 -0.001648 -0.002994 5.556415 0.047554
2.539000 6.272368 -0.004155 -0.001647 -0.001451 5.552502 0.079520
2.559000 6.383477 -0.003680 -0.001653 -0.000732 5.556445 0.019837
2.579000 6.494603 -0.003277 -0.001656 -0.000230 5.556125 0.028744
2.599000 6.605726 -0.002329 -0.001657 0.000807 5.556337 0.093796
2.619000 6.716864 -0.000035 -0.001657 0.003009 5.556660 0.108278
2.639000 6.828003 0.002152 -0.001657 0.004911 5.556180 0.084036
2.659000 6.939123 0.002288 -0.001655 0.004457 5.558096 -0.054689
2.679000 7.050203 0.000262 -0.001645 0.001999 5.550823 -0.146990
2.699000 7.161207 -0.001742 -0.001649 -0.000247 5.548118 -0.070018
2.719000 7.272277 -0.001555 -0.001653 -0.000171 5.553829 0.036710
2.739000 7.383364 -0.001345 -0.001655 0.000083 5.555142 -0.008125
2.759000 7.494484 -0.000622 -0.001656 0.000828 5.556680 0.056306
2.779000 7.605620 0.000459 -0.001657 0.001841 5.556459 0.045030
2.799000 7.716737 0.000887 -0.001657 0.001970 5.555329 -0.029003
2.819000 7.827820 -0.001258 -0.001652 -0.000329 5.553264 -0.146130
2.839000 7.938841 -0.004356 -0.001651 -0.003409 5.550083 -0.137824
2.859000 8.049876 -0.005131 -0.001651 -0.003816 5.552890 0.008559
2.879000 8.160997 -0.003743 -0.001636 -0.002094 5.553834 0.108465
2.899000 8.272071 -0.002161 -0.001644 -0.000250 5.550565 0.048171
2.919000 8.383195 -0.002017 -0.001652 0.000033 5.556676 0.015822
2.939000 8.494317 -0.001516 -0.001655 0.000517 5.555994 0.031309
2.959000 8.605450 -0.000128 -0.001657 0.001866 5.556583 0.080767
2.979000 8.716587 0.001525 -0.001657 0.003355 5.556691 0.069848
2.999000 8.827712 0.002585 -0.001657 0.003948 5.555901 -0.006976
3.019000 8.938811 0.001066 -0.001652 0.002076 5.553614 -0.123844
3.039000 9.049842 -0.001371 -0.001651 -0.000607 5.549792 -0.117966
3.059000 9.160902 -0.002216 -0.001655 -0.001498 5.554471 -0.015072
3.079000 9.271995 -0.002920 -0.001656 -0.002051 5.554698 -0.037892
3.099000 9.383090 -0.003448 -0.001657 -0.002282 5.554564 0.036502
3.119000 9.494223 -0.002285 -0.001657 -0.000935 5.556862 0.068258
3.139000 9.605362 -0.001379 -0.001657 0.000146 5.556523 0.053306
3.159000 9.716496 0.000497 -0.001657 0.002042 5.556362 0.113502
3.179000 9.827637 0.002766 -0.001657 0.004143 5.556491 0.098549
3.199000 9.938765 0.004425 -0.001657 0.005259 5.556317 0.018698
3.219000 10.049878 0.003512 -0.001652 0.003863 5.553713 -0.099352
3.239000 10.160917 0.001718 -0.001651 0.001639 5.549475 -0.095096
3.259000 10.271978 0.001532 -0.001655 0.001164 5.554733 0.002712
3.279000 10.383083 0.001494 -0.001656 0.000994 5.555261 -0.017804
3.299000 10.494181 0.000902 -0.001657 0.000251 5.553964 -0.073359
3.319000 10.605259 -0.000746 -0.001657 -0.001413 5.553766 -0.080701
3.339000 10.716335 -0.002302 -0.001657 -0.002847 5.553291 -0.062233
3.359000 10.827408 -0.001811 -0.001656 -0.001976 5.554226 0.074761
3.379000 10.938536 0.000893 -0.001645 0.000889 5.553838 0.167157
3.399000 11.049612 0.003515 -0.001649 0.003374 5.550337 0.093922
3.419000 11.160695 0.003477 -0.001647 0.003083 5.555311 -0.047481
3.439000 11.271759 0.002215 -0.001646 0.001534 5.550168 -0.080559
3.459000 11.382823 0.001746 -0.001652 0.000803 5.555296 -0.019811
3.479000 11.493926 0.001351 -0.001655 0.000300 5.554891 -0.028881
3.499000 11.605017 0.000414 -0.001657 -0.000741 5.553669 -0.093990
3.519000 11.716085 -0.001878 -0.001657 -0.002940 5.553542 -0.108410
3.539000 11.827152 -0.004057 -0.001657 -0.004843 5.553035 -0.083871
3.559000 11.938228 -0.004188 -0.001656 -0.004386 5.554953 0.054524
3.579000 12.049360 -0.002147 -0.001646 -0.001928 5.553766 0.147345
3.599000 12.160442 -0.000135 -0.001649 0.000315 5.551061 0.069272
3.619000 12.271546 -0.000321 -0.001652 0.000241 5.555254 -0.035283
3.639000 12.382644 -0.000511 -0.001654 0.000009 5.555287 0.017788
3.659000 12.493771 0.000433 -0.001656 0.000921 5.556747 0.050379
3.679000 12.604903 0.001414 -0.001657 0.001834 5.556376 0.043412
3.699000 12.716021 0.001837 -0.001657 0.001946 5.555293 -0.030858
3.719000 12.827103 -0.000319 -0.001652 -0.000355 5.553264 -0.145870
3.739000 12.938124 -0.003413 -0.001651 -0.003423 5.550254 -0.135546
3.759000 13.049165 -0.004136 -0.001649 -0.003775 5.553463 0.011639
3.779000 13.160287 -0.002707 -0.001628 -0.002027 5.553515 0.108808
3.799000 13.271360 -0.001151 -0.001640 -0.000219 5.550381 0.045341
3.819000 13.382484 -0.001029 -0.001650 0.000052 5.556619 0.015956
3.839000 13.493600 -0.000522 -0.001655 0.000535 5.553540 0.035460
3.859000 13.604723 0.000910 -0.001656 0.001921 5.556640 0.080464
3.879000 13.715861 0.002555 -0.001657 0.003398 5.556650 0.069262
3.899000 13.826986 0.003618 -0.001657 0.003982 5.555912 -0.008167
3.919000 13.938085 0.002097 -0.001652 0.002108 5.553634 -0.123306
3.939000 14.049117 -0.000348 -0.001651 -0.000576 5.549857 -0.117952
3.959000 14.160176 -0.001195 -0.001655 -0.001480 5.554442 -0.016283
3.979000 14.271269 -0.001893 -0.001656 -0.002035 5.554688 -0.037878
3.999000 14.382364 -0.002437 -0.001657 -0.002272 5.554568 0.036637
4.019000 14.493497 -0.001269 -0.001657 -0.000936 5.556849 0.067813
4.039000 14.604636 -0.000368 -0.001657 0.000148 5.556523 0.053190
4.059000 14.715770 0.001502 -0.001657 0.002038 5.556368 0.113116
4.079000 14.826911 0.003771 -0.001657 0.004138 5.556467 0.098517
4.099000 14.938039 0.005428 -0.001657 0.005247 5.556260 0.017464
4.119000 15.049151 0.004508 -0.001652 0.003849 5.553742 -0.098449
4.139000 15.160190 0.002705 -0.001651 0.001629 5.549524 -0.094617
4.159000 15.271252 0.002517 -0.001655 0.001145 5.554737 0.001511
4.179000 15.382356 0.002480 -0.001656 0.000972 5.555254 -0.017704
4.199000 15.493474 0.001841 -0.001657 0.000182 5.554475 -0.074588
4.219000 15.604552 0.000201 -0.001657 -0.001460 5.553747 -0.079285
4.239000 15.715628 -0.001351 -0.001657 -0.002883 5.553335 -0.061868
4.259000 15.826701 -0.000864 -0.001656 -0.002005 5.554264 0.075633
4.279000 15.937830 0.001848 -0.001644 0.000860 5.553902 0.166517
