# stamp x y z yaw vx vy vz angular_v
0.428000 0.000003 0.000000 -0.001577 0.000000 -0.000022 -0.000014 -0.115866 -0.000004
0.448000 0.000004 0.000000 -0.001634 0.000000 -0.000026 -0.000014 -0.116634 -0.000004
0.468000 0.000006 0.000000 -0.001651 0.000000 -0.000028 -0.000014 -0.116808 -0.000004
0.488000 0.000008 0.000000 -0.001655 0.000000 -0.000028 -0.000014 -0.116847 -0.000004
0.508000 0.000010 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116856 -0.000004
0.528000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116858 -0.000004
0.548000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.568000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.588000 0.000017 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.608000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.628000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.648000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.668000 0.000024 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.688000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.708000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.728000 0.000029 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.748000 0.000031 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.768000 0.001772 -0.000015 -0.001654 -0.000016 0.088764 -0.002319 -0.116690 -0.002308
0.788000 0.005801 -0.000103 -0.001653 -0.000103 0.187633 -0.005477 -0.116739 -0.005123
0.808000 0.011729 -0.000206 -0.001654 -0.000193 0.283844 -0.001107 -0.116801 0.000108
0.828000 0.019553 -0.000060 -0.001655 -0.000023 0.379389 0.010379 -0.116824 0.011180
0.848000 0.029288 0.000107 -0.001656 0.000145 0.475301 0.006845 -0.116831 0.006426
0.868000 0.040936 0.000108 -0.001656 0.000125 0.570822 -0.008192 -0.116833 -0.009412
0.888000 0.054496 -0.000070 -0.001656 -0.000065 0.666624 -0.006539 -0.116834 -0.006415
0.908000 0.069972 -0.000168 -0.001656 -0.000155 0.762395 -0.002763 -0.116834 -0.001911
0.928000 0.087363 -0.000096 -0.001656 -0.000064 0.858096 0.006040 -0.116834 0.006828
0.948000 0.106669 -0.000016 -0.001656 0.000022 0.953878 0.002388 -0.116834 0.002429
0.968000 0.127889 -0.000054 -0.001656 -0.000021 1.049561 -0.006609 -0.116834 -0.006840
0.988000 0.151024 -0.000186 -0.001656 -0.000150 1.145323 -0.005167 -0.116834 -0.004480
1.008000 0.176073 -0.000250 -0.001656 -0.000195 1.240937 0.003191 -0.116835 0.004688
1.028000 0.203031 0.000047 -0.001656 0.000127 1.336421 0.018348 -0.116834 0.018714
1.048000 0.231905 0.000336 -0.001656 0.000398 1.432280 0.011948 -0.116834 0.010324
1.068000 0.262680 0.000171 -0.001656 0.000176 1.526480 -0.035190 -0.116833 -0.038424
1.088000 0.295351 -0.000604 -0.001656 -0.000615 1.622382 -0.031485 -0.116833 -0.029438
1.108000 0.329942 -0.001044 -0.001656 -0.000980 1.717142 0.000082 -0.116855 0.006246
1.128000 0.366390 -0.000104 -0.001656 0.000086 1.810188 0.066868 -0.116823 0.070242
1.148000 0.404752 0.000896 -0.001656 0.001065 1.907312 0.036289 -0.116830 0.031943
1.168000 0.444991 0.000725 -0.001656 0.000747 1.998025 -0.049368 -0.116597 -0.056843
1.188000 0.487045 -0.001209 -0.001654 -0.001280 2.090922 -0.104847 -0.116669 -0.102813
1.208000 0.531027 -0.002491 -0.001655 -0.002392 2.186344 -0.028783 -0.116714 -0.015558
1.228000 0.576804 -0.001497 -0.001650 -0.001101 2.275471 0.077090 -0.115349 0.088126
1.248000 0.624379 0.001279 -0.001644 0.001809 2.366347 0.157141 -0.116091 0.154661
1.268000 0.673766 0.002881 -0.001634 0.003161 2.455577 0.053289 -0.107747 0.037014
1.288000 0.724905 0.001649 -0.001391 0.001540 2.545308 -0.078506 -0.082869 -0.091246
1.308000 0.777840 -0.001382 -0.001327 -0.001668 2.635828 -0.171179 -0.098067 -0.170737
1.328000 0.832667 -0.004419 -0.001491 -0.004489 2.733481 -0.118619 -0.112351 -0.098098
1.348000 0.889503 -0.005800 -0.001595 -0.005350 2.832425 -0.050446 -0.115655 -0.021838
1.368000 0.948257 -0.006299 -0.001636 -0.005234 2.925587 0.014587 -0.116463 0.046468
1.388000 1.008889 -0.005196 -0.001649 -0.003542 3.020197 0.060870 -0.116685 0.084922
1.408000 1.071448 -0.004503 -0.001654 -0.002472 3.116941 0.011487 -0.116753 0.026509
1.428000 1.135931 -0.004571 -0.001655 -0.002270 3.212706 -0.000627 -0.116804 0.013079
1.448000 1.202325 -0.004318 -0.001656 -0.001760 3.308180 0.018633 -0.116825 0.030343
1.468000 1.270631 -0.003919 -0.001656 -0.001165 3.403777 0.023062 -0.116830 0.031444
1.488000 1.340848 -0.003403 -0.001656 -0.000520 3.499379 0.027154 -0.116831 0.031936
1.508000 1.412976 -0.002787 -0.001656 0.000156 3.594609 0.042897 -0.116835 0.044753
1.528000 1.486998 -0.001499 -0.001656 0.001432 3.689413 0.072582 -0.116832 0.068465
1.548000 1.562932 -0.000133 -0.001656 0.002635 3.785334 0.065973 -0.116832 0.054338
1.568000 1.640729 0.000205 -0.001656 0.002647 3.876410 -0.014592 -0.115931 -0.031379
1.588000 1.720321 -0.001840 -0.001615 0.000280 3.967188 -0.127376 -0.111126 -0.136183
1.608000 1.801738 -0.005338 -0.001615 -0.003243 4.057761 -0.170228 -0.115031 -0.159180
1.628000 1.884981 -0.006642 -0.001537 -0.004139 4.150986 -0.048805 -0.093343 -0.026573
1.648000 1.970093 -0.005619 -0.001319 -0.002626 4.244955 0.067064 -0.084259 0.085638
1.668000 2.057074 -0.003244 -0.001360 0.000038 4.338937 0.113747 -0.104891 0.118432
1.688000 2.145962 -0.002057 -0.001530 0.001187 4.434795 0.024214 -0.113771 0.017774
1.708000 2.236785 -0.002224 -0.001611 0.000879 4.530470 -0.004726 -0.116057 -0.009605
1.728000 2.329525 -0.001856 -0.001642 0.001161 4.625774 0.029114 -0.116653 0.024316
1.748000 2.424180 -0.001403 -0.001652 0.001481 4.721425 0.016414 -0.116791 0.008692
1.768000 2.520729 -0.000447 -0.001655 0.002293 4.814735 0.089824 -0.116807 0.082043
1.788000 2.619154 0.001773 -0.001656 0.004257 4.909987 0.105471 -0.116816 0.086181
1.808000 2.719497 0.003457 -0.001656 0.005453 5.004637 0.060793 -0.116721 0.031366
1.828000 2.821674 0.002897 -0.001628 0.004250 5.096628 -0.052541 -0.108865 -0.080824
1.848000 2.925690 0.000153 -0.001548 0.001007 5.188929 -0.163256 -0.108800 -0.177031
1.868000 3.031582 -0.002882 -0.001592 -0.002099 5.284106 -0.120157 -0.114644 -0.110832
1.888000 3.139396 -0.003764 -0.001625 -0.002694 5.381334 -0.020527 -0.114856 -0.002592
1.908000 3.248819 -0.003217 -0.001636 -0.001835 5.477454 0.041739 -0.116028 0.063430
1.928000 3.359550 -0.002642 -0.001647 -0.001026 5.559089 0.013171 -0.116566 0.021903
1.948000 3.470703 -0.002503 -0.001653 -0.000733 5.555956 0.011557 -0.116747 0.016805
1.968000 3.581825 -0.001407 -0.001655 0.000484 5.556762 0.095217 -0.116723 0.094580
1.988000 3.692964 0.000787 -0.001656 0.002632 5.556609 0.109392 -0.116791 0.106627
2.008000 3.804101 0.002682 -0.001657 0.004193 5.555943 0.062328 -0.116725 0.052823
