# stamp x y z yaw linear_v angular_v
0.203000 0.000001 0.000000 -0.001410 0.000000 -0.000013 -0.000003
0.223000 0.000003 0.000000 -0.001582 0.000000 -0.000022 -0.000004
0.243000 0.000005 0.000000 -0.001636 0.000000 -0.000026 -0.000004
0.263000 0.000006 0.000000 -0.001651 0.000000 -0.000028 -0.000004
0.283000 0.000008 0.000000 -0.001656 0.000000 -0.000028 -0.000004
0.303000 0.000010 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.323000 0.000012 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.343000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.363000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.383000 0.000017 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.403000 0.000019 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.423000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.443000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.463000 0.000024 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.483000 0.000026 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.503000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.523000 0.000029 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.543000 0.000031 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.563000 0.000033 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.583000 0.000034 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.603000 0.000036 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.623000 0.000038 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.643000 0.000040 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.663000 0.000041 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.683000 0.000043 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.703000 0.000045 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.723000 0.000047 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.743000 0.000048 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.763000 0.000050 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.783000 0.000052 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.803000 0.000054 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.823000 0.000055 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.843000 0.000057 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.863000 0.000059 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.883000 0.000061 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.903000 0.000062 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.923000 0.000064 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.943000 0.000274 -0.000000 -0.001658 -0.000000 0.018877 -0.000148
0.963000 0.002977 -0.000146 -0.001653 -0.000150 0.121836 -0.014963
0.983000 0.007615 -0.000562 -0.001653 -0.000551 0.218226 -0.021295
1.003000 0.014110 -0.000824 -0.001655 -0.000740 0.309373 0.020729
1.023000 0.022401 -0.000113 -0.001655 0.000057 0.402930 0.037861
1.043000 0.032623 0.000457 -0.001656 0.000616 0.499997 0.023889
1.063000 0.044768 0.000964 -0.001656 0.001054 0.595783 0.022060
1.083000 0.058821 0.001592 -0.001656 0.001566 0.690968 0.027719
1.103000 0.074776 0.002080 -0.001656 0.001869 0.785703 -0.014993
1.123000 0.092627 0.001701 -0.001656 0.001281 0.881219 -0.023918
1.143000 0.112400 0.001597 -0.001656 0.001039 0.977288 -0.008349
1.163000 0.134087 0.001481 -0.001656 0.000806 1.072925 -0.014230
1.183000 0.157689 0.001289 -0.001656 0.000525 1.168672 -0.013038
1.203000 0.183184 0.000809 -0.001656 -0.000025 1.261197 -0.055727
1.223000 0.210532 -0.000521 -0.001656 -0.001353 1.356229 -0.059880
1.243000 0.239808 -0.001678 -0.001656 -0.002354 1.450990 -0.037683
1.263000 0.270809 -0.001168 -0.001654 -0.001549 1.534556 0.067722
1.283000 0.303492 0.001423 -0.001642 0.001234 1.619332 0.164992
1.303000 0.337836 0.004047 -0.001640 0.003671 1.698322 0.090521
1.323000 0.373617 0.003889 -0.001443 0.003069 1.775243 -0.034884
1.343000 0.410965 0.001663 -0.001328 0.000481 1.853298 -0.136574
1.363000 0.449803 -0.002673 -0.001320 -0.003926 1.927489 -0.229052
1.383000 0.490191 -0.008818 -0.001419 -0.009638 2.005603 -0.295694
1.403000 0.532120 -0.014531 -0.001557 -0.014225 2.077453 -0.205851
1.423000 0.575273 -0.017907 -0.001556 -0.015926 2.143571 -0.076650
1.443000 0.619761 -0.019238 -0.001495 -0.015311 2.209359 0.046590
1.463000 0.665496 -0.018432 -0.001464 -0.012673 2.271713 0.152050
1.483000 0.712466 -0.015372 -0.001439 -0.008093 2.332486 0.252318
1.503000 0.760767 -0.010037 -0.001394 -0.001807 2.401947 0.342581
1.523000 0.810651 -0.002896 -0.001469 0.005535 2.481284 0.393283
1.543000 0.862453 0.004316 -0.001580 0.012069 2.579199 0.310285
1.563000 0.915884 0.009013 -0.001561 0.015360 2.658804 0.178273
1.583000 0.970935 0.011750 -0.001476 0.016252 2.739901 0.051372
1.603000 1.027665 0.012513 -0.001418 0.015008 2.825997 -0.076616
1.623000 1.086198 0.011193 -0.001321 0.011658 2.916010 -0.201170
1.643000 1.146545 0.008351 -0.001414 0.007263 3.007151 -0.227133
1.663000 1.208808 0.006626 -0.001554 0.004821 3.103550 -0.113617
1.683000 1.273029 0.006896 -0.001577 0.004683 3.200911 0.002248
1.703000 1.339129 0.007594 -0.001614 0.004962 3.290256 -0.024301
1.723000 1.406897 0.005706 -0.001515 0.002378 3.375273 -0.167876
1.743000 1.476369 0.001405 -0.001304 -0.002416 3.460925 -0.262009
1.763000 1.547471 -0.005041 -0.001331 -0.008600 3.542337 -0.336787
1.783000 1.620269 -0.013020 -0.001490 -0.015608 3.630558 -0.354934
1.803000 1.694828 -0.019788 -0.001593 -0.020572 3.711403 -0.242558
1.823000 1.770815 -0.024192 -0.001582 -0.022628 3.786666 -0.115100
1.843000 1.848320 -0.026600 -0.001534 -0.022377 3.863490 0.009013
1.863000 1.927468 -0.026936 -0.001462 -0.019965 3.944995 0.136784
1.883000 2.008251 -0.025212 -0.001394 -0.015440 4.026721 0.254956
1.903000 2.090748 -0.021450 -0.001384 -0.009868 4.115882 0.279804
1.923000 2.175204 -0.018859 -0.001526 -0.006243 4.213823 0.170740
1.943000 2.261655 -0.018063 -0.001595 -0.004818 4.313250 0.057135
1.963000 2.350042 -0.017579 -0.001631 -0.003854 4.406591 0.101250
1.983000 2.440273 -0.015446 -0.001647 -0.001224 4.499528 0.165517
2.003000 2.532322 -0.012417 -0.001653 0.002033 4.585889 0.205623
2.023000 2.625921 -0.006499 -0.001537 0.007767 4.665215 0.320372
2.043000 2.721121 0.001990 -0.001341 0.015413 4.744714 0.398429
2.063000 2.817811 0.009338 -0.001442 0.021144 4.821802 0.303141
2.083000 2.916099 0.014876 -0.001559 0.024456 4.902272 0.186886
2.103000 3.016079 0.018425 -0.001536 0.025258 4.988770 0.053724
2.123000 3.117882 0.019900 -0.001406 0.023723 5.079135 -0.076661
2.143000 3.221484 0.019357 -0.001344 0.020212 5.169728 -0.199178
2.163000 3.326945 0.017495 -0.001430 0.015708 5.263442 -0.225749
2.183000 3.434336 0.016456 -0.001564 0.013010 5.361485 -0.112511
2.203000 3.543169 0.015428 -0.001625 0.010415 5.432498 -0.167237
2.223000 3.652886 0.011075 -0.001450 0.004916 5.491606 -0.286415
2.243000 3.763415 0.004378 -0.001294 -0.002367 5.529836 -0.388270
2.263000 3.874020 -0.004226 -0.001308 -0.010899 5.525978 -0.453601
2.283000 3.984666 -0.014343 -0.001458 -0.020022 5.543058 -0.493536
2.303000 4.095477 -0.024035 -0.001575 -0.027435 5.544858 -0.366678
2.323000 4.206451 -0.030969 -0.001524 -0.030838 5.553451 -0.161272
2.343000 4.317596 -0.035309 -0.001425 -0.031232 5.561679 -0.023415
2.363000 4.428838 -0.036802 -0.001380 -0.029278 5.567177 0.119736
2.383000 4.540122 -0.035813 -0.001328 -0.025080 5.566203 0.238927
2.403000 4.651363 -0.032778 -0.001352 -0.018898 5.559883 0.331098
2.423000 4.762536 -0.026542 -0.001381 -0.010444 5.561643 0.441690
2.443000 4.873692 -0.017841 -0.001315 -0.000450 5.553973 0.520211
2.463000 4.984759 -0.009000 -0.001420 0.008320 5.553237 0.408889
2.483000 5.095967 -0.002061 -0.001561 0.014510 5.563172 0.277648
2.503000 5.207035 0.003554 -0.001620 0.018332 5.552496 0.159390
2.523000 5.318180 0.005962 -0.001414 0.018345 5.564940 -0.031442
2.543000 5.429304 0.006106 -0.001307 0.016558 5.553368 -0.110240
2.563000 5.540347 0.003965 -0.001356 0.012299 5.556721 -0.239690
2.583000 5.651412 -0.000580 -0.001334 0.006381 5.556648 -0.326614
2.603000 5.762396 -0.006739 -0.001440 -0.000763 5.550047 -0.381235
2.623000 5.873266 -0.015044 -0.001529 -0.009169 5.544144 -0.451467
2.643000 5.984030 -0.024963 -0.001595 -0.018243 5.542142 -0.481263
2.663000 6.094777 -0.032773 -0.001591 -0.023726 5.542000 -0.283398
2.683000 6.205675 -0.038184 -0.001502 -0.025866 5.547844 -0.103560
2.703000 6.316711 -0.040752 -0.001430 -0.025435 5.553579 0.029485
2.723000 6.427848 -0.040679 -0.001356 -0.022577 5.560227 0.179973
2.743000 6.539081 -0.038478 -0.001313 -0.017842 5.561244 0.273036
2.763000 6.650296 -0.033767 -0.001347 -0.010904 5.562225 0.362711
2.783000 6.761493 -0.026820 -0.001324 -0.002605 5.558312 0.444726
2.803000 6.872613 -0.018668 -0.001429 0.005893 5.554288 0.416442
2.823000 6.983803 -0.011953 -0.001565 0.012070 5.564456 0.278437
2.843000 7.094982 -0.005562 -0.001626 0.017267 5.558182 0.266199
2.863000 7.206178 -0.000892 -0.001632 0.019691 5.563599 0.071782
2.883000 7.317314 0.001405 -0.001534 0.019874 5.556092 -0.001328
2.903000 7.428398 0.002104 -0.001517 0.018288 5.553118 -0.115466
2.923000 7.539430 -0.000263 -0.001385 0.013537 5.557555 -0.254964
2.943000 7.650497 -0.004895 -0.001283 0.007312 5.556241 -0.347469
2.963000 7.761479 -0.011993 -0.001333 -0.000901 5.553405 -0.419392
2.983000 7.872343 -0.021404 -0.001326 -0.010401 5.545556 -0.500153
3.003000 7.983049 -0.031546 -0.001396 -0.019407 5.536181 -0.444749
3.023000 8.093730 -0.039239 -0.001531 -0.024605 5.536969 -0.260836
3.043000 8.204524 -0.044443 -0.001520 -0.026443 5.542276 -0.091199
3.063000 8.315523 -0.046709 -0.001392 -0.025823 5.551798 0.059774
3.083000 8.426686 -0.046677 -0.001301 -0.023013 5.560521 0.166668
3.103000 8.537840 -0.044981 -0.001384 -0.018478 5.555343 0.261853
3.123000 8.649003 -0.040169 -0.001374 -0.011500 5.561114 0.367680
3.143000 8.760181 -0.033150 -0.001303 -0.003054 5.556234 0.450629
3.163000 8.871265 -0.024355 -0.001389 0.006322 5.551632 0.503846
3.183000 8.982311 -0.014307 -0.001540 0.015905 5.555549 0.494870
3.203000 9.093476 -0.005401 -0.001603 0.022957 5.561847 0.344266
3.223000 9.204806 0.000666 -0.001493 0.025919 5.570609 0.136905
3.243000 9.316203 0.004078 -0.001395 0.026159 5.579008 0.005008
3.263000 9.427626 0.004781 -0.001354 0.023970 5.583003 -0.139333
3.283000 9.538877 0.003224 -0.001318 0.019803 5.561680 -0.235376
3.303000 9.649897 -0.000200 -0.001399 0.013799 5.551092 -0.322352
3.323000 9.760831 -0.006975 -0.001375 0.005434 5.554514 -0.433910
3.343000 9.871718 -0.015970 -0.001296 -0.004294 5.543171 -0.490017
3.363000 9.982384 -0.023198 -0.001425 -0.010770 5.535307 -0.329428
3.383000 10.093036 -0.028062 -0.001544 -0.013993 5.534766 -0.153635
3.403000 10.203841 -0.030114 -0.001481 -0.014496 5.542005 0.005097
3.423000 10.314924 -0.029740 -0.001302 -0.012632 5.558642 0.115099
3.443000 10.426026 -0.028305 -0.001369 -0.009965 5.549505 0.150331
3.463000 10.537135 -0.025033 -0.001531 -0.005209 5.556150 0.269574
3.483000 10.648289 -0.019876 -0.001602 0.000658 5.556904 0.333236
3.503000 10.759417 -0.013276 -0.001636 0.007389 5.550588 0.382668
3.523000 10.870435 -0.004616 -0.001647 0.015469 5.545275 0.454149
3.543000 10.981395 0.005161 -0.001653 0.023673 5.546053 0.412919
3.563000 11.092287 0.012217 -0.001575 0.027696 5.548814 0.207750
3.583000 11.203324 0.016828 -0.001465 0.028549 5.553943 0.050491
3.603000 11.314446 0.018471 -0.001402 0.027120 5.559942 -0.088121
3.623000 11.425603 0.017645 -0.001324 0.023348 5.561813 -0.216243
3.643000 11.536717 0.015185 -0.001347 0.018245 5.555311 -0.283203
3.663000 11.647775 0.010404 -0.001430 0.011138 5.556802 -0.370941
3.683000 11.758769 0.003406 -0.001397 0.002744 5.551932 -0.450541
3.703000 11.869700 -0.004678 -0.001496 -0.005703 5.550756 -0.404715
3.723000 11.980763 -0.011209 -0.001594 -0.011744 5.562005 -0.272899
3.743000 12.091816 -0.017573 -0.001635 -0.016950 5.554455 -0.267137
3.763000 12.202909 -0.021556 -0.001551 -0.018462 5.558920 -0.054153
3.783000 12.314123 -0.022638 -0.001347 -0.017350 5.568225 0.086491
3.803000 12.425356 -0.021322 -0.001300 -0.014010 5.564999 0.206035
3.823000 12.536582 -0.017568 -0.001332 -0.008680 5.563012 0.295279
3.843000 12.647789 -0.012266 -0.001420 -0.002261 5.557061 0.354567
3.863000 12.758901 -0.004679 -0.001526 0.005865 5.553558 0.425074
3.883000 12.869908 0.005154 -0.001504 0.015246 5.546569 0.501927
3.903000 12.980687 0.015394 -0.001555 0.023770 5.537831 0.427971
3.923000 13.091427 0.022982 -0.001553 0.028300 5.540866 0.229950
3.943000 13.202304 0.028150 -0.001486 0.029570 5.546024 0.068569
3.963000 13.313334 0.030370 -0.001375 0.028602 5.555941 -0.084157
3.983000 13.424461 0.030429 -0.001301 0.025592 5.556641 -0.171120
4.003000 13.535486 0.028958 -0.001412 0.020977 5.549961 -0.272982
4.023000 13.646497 0.024301 -0.001373 0.013829 5.557526 -0.373180
4.043000 13.757507 0.017460 -0.001295 0.005289 5.552909 -0.455328
4.063000 13.868413 0.008826 -0.001380 -0.004186 5.548233 -0.507125
4.083000 13.979283 -0.001139 -0.001533 -0.013933 5.552199 -0.504806
4.103000 14.090323 -0.010091 -0.001604 -0.021261 5.557671 -0.357229
4.123000 14.201565 -0.016230 -0.001508 -0.024526 5.566950 -0.150888
4.143000 14.312908 -0.019742 -0.001408 -0.024974 5.574878 -0.018950
4.163000 14.424308 -0.020523 -0.001363 -0.023024 5.580792 0.128389
4.183000 14.535640 -0.019007 -0.001320 -0.018994 5.565117 0.230178
4.203000 14.646817 -0.015674 -0.001397 -0.013188 5.555473 0.318612
4.223000 14.757936 -0.009053 -0.001383 -0.004971 5.558983 0.427250
4.243000 14.869039 -0.000074 -0.001304 0.004700 5.551387 0.505315
4.263000 14.980062 0.008983 -0.001420 0.013121 5.551221 0.390231
4.283000 15.091230 0.016141 -0.001562 0.018991 5.559623 0.262112
4.303000 15.202302 0.022169 -0.001623 0.022734 5.551967 0.158466
