# id x y z yaw target_linear_v
0 0.000000 0.000000 0.000000 0.000000 8.333333
1 1.000000 0.000000 0.000000 0.000000 8.333333
2 2.000000 0.000000 0.000000 0.000000 8.333333
3 3.000000 0.000000 0.000000 0.000000 8.333333
4 4.000000 0.000000 0.000000 0.000000 8.333333
5 5.000000 0.000000 0.000000 0.000000 8.333333
6 6.000000 0.000000 0.000000 0.000000 8.333333
7 7.000000 0.000000 0.000000 0.000000 8.333333
8 8.000000 0.000000 0.000000 0.000000 8.333333
9 9.000000 0.000000 0.000000 0.000000 8.333333
10 10.000000 0.000000 0.000000 0.000000 8.333333
11 11.000000 0.000000 0.000000 0.000000 8.333333
12 12.000000 0.000000 0.000000 0.000000 8.333333
13 13.000000 0.000000 0.000000 0.000000 8.333333
14 14.000000 0.000000 0.000000 0.000000 8.333333
15 15.000000 0.000000 0.000000 0.000000 8.333333
16 16.000000 0.000000 0.000000 0.000000 8.333333
17 17.000000 0.000000 0.000000 0.000000 8.333333
18 18.000000 0.000000 0.000000 0.000000 8.333333
19 19.000000 0.000000 0.000000 0.000000 8.333333
20 20.000000 0.000000 0.000000 0.000000 8.333333
21 21.000000 0.050000 0.000000 0.100000 8.244839
22 21.990000 0.200000 0.000000 0.200000 8.122485
23 22.960000 0.450000 0.000000 0.300000 7.998211
24 23.890000 0.790000 0.000000 0.400000 7.873434
25 24.790000 1.220000 0.000000 0.500000 7.745713
26 25.650000 1.750000 0.000000 0.600000 7.614176
27 26.440000 2.350000 0.000000 0.700000 7.482756
28 27.170000 3.030000 0.000000 0.800000 7.348221
29 27.830000 3.780000 0.000000 0.900000 7.210981
30 28.410000 4.600000 0.000000 1.000000 7.070323
31 28.910000 5.460000 0.000000 1.100000 6.928196
32 29.320000 6.380000 0.000000 1.200000 6.781257
33 29.640000 7.330000 0.000000 1.300000 6.631784
34 29.850000 8.300000 0.000000 1.400000 6.480402
35 29.970000 9.290000 0.000000 1.500000 6.324644
36 30.050000 10.290000 0.000000 1.500000 6.163986
37 30.120000 11.290000 0.000000 1.500000 5.999153
38 30.190000 12.290000 0.000000 1.500000 5.829660
39 30.260000 13.280000 0.000000 1.500000 5.656854
40 30.330000 14.280000 0.000000 1.500000 5.476779
41 30.400000 15.280000 0.000000 1.500000 5.290577
42 30.470000 16.280000 0.000000 1.500000 5.097579
43 30.540000 17.270000 0.000000 1.500000 4.899017
44 30.610000 18.270000 0.000000 1.500000 4.689934
45 30.680000 19.270000 0.000000 1.500000 4.471083
46 30.750000 20.270000 0.000000 1.500000 4.240954
47 30.820000 21.260000 0.000000 1.500000 4.000093
48 30.890000 22.260000 0.000000 1.500000 3.741103
49 30.970000 23.260000 0.000000 1.500000 3.462580
50 31.040000 24.260000 0.000000 1.500000 3.159837
51 31.110000 25.250000 0.000000 1.500000 2.828361
52 31.180000 26.250000 0.000000 1.500000 2.448414
53 31.250000 27.250000 0.000000 1.500000 1.997458
54 31.320000 28.250000 0.000000 1.500000 1.408880
55 31.390000 29.240000 0.000000 1.500000 0.000000
