# stamp x y z yaw
0.239000 0.000004 0.000000 -0.001624 0.000000
0.259000 0.000006 0.000000 -0.001648 0.000000
0.279000 0.000007 0.000000 -0.001655 0.000000
0.299000 0.000009 0.000000 -0.001656 0.000000
0.319000 0.000011 0.000000 -0.001657 0.000000
0.339000 0.000013 0.000000 -0.001657 0.000000
0.359000 0.000014 0.000000 -0.001657 0.000000
0.379000 0.000016 0.000000 -0.001657 0.000000
0.399000 0.000018 0.000000 -0.001657 0.000000
0.419000 0.000020 0.000000 -0.001657 0.000000
0.439000 0.000021 0.000000 -0.001657 0.000000
0.459000 0.000023 0.000000 -0.001657 0.000000
0.479000 0.000025 0.000000 -0.001657 0.000000
0.499000 0.000027 0.000000 -0.001657 0.000000
0.519000 0.000028 0.000000 -0.001657 0.000000
0.539000 0.000030 0.000000 -0.001657 0.000000
0.559000 0.000032 0.000000 -0.001657 0.000000
0.579000 0.000034 0.000000 -0.001657 0.000000
0.599000 0.000035 0.000000 -0.001657 0.000000
0.619000 0.000037 0.000000 -0.001657 0.000000
0.639000 0.000039 0.000000 -0.001657 0.000000
0.659000 0.000687 -0.000012 -0.001657 -0.000013
0.679000 0.003687 -0.000310 -0.001655 -0.000322
0.699000 0.008553 -0.000885 -0.001655 -0.000895
0.719000 0.015197 -0.000811 -0.001656 -0.000756
0.739000 0.023603 0.000191 -0.001656 0.000316
0.759000 0.033960 0.000779 -0.001656 0.000897
0.779000 0.046077 -0.000078 -0.001656 -0.000045
0.799000 0.060105 -0.000993 -0.001656 -0.000977
0.819000 0.076060 -0.001056 -0.001656 -0.000976
0.839000 0.093911 -0.000517 -0.001656 -0.000368
0.859000 0.113688 -0.000315 -0.001656 -0.000141
0.879000 0.135378 -0.000007 -0.001656 0.000184
0.899000 0.158981 0.000338 -0.001656 0.000529
0.919000 0.184406 -0.000164 -0.001656 -0.000032
0.939000 0.211561 -0.002345 -0.001654 -0.002278
0.959000 0.240634 -0.003800 -0.001656 -0.003627
0.979000 0.271217 -0.002542 -0.001571 -0.002098
0.999000 0.303328 0.001076 -0.001393 0.001754
1.019000 0.336867 0.004289 -0.001451 0.004923
1.039000 0.371707 0.005162 -0.001487 0.005515
1.059000 0.407888 0.003851 -0.001423 0.003833
1.079000 0.445295 0.000431 -0.001393 0.000081
1.099000 0.483910 -0.005198 -0.001354 -0.005722
1.119000 0.523376 -0.010355 -0.001412 -0.010660
1.139000 0.563816 -0.013403 -0.001539 -0.013088
1.159000 0.605199 -0.014290 -0.001542 -0.013112
1.179000 0.647343 -0.012965 -0.001501 -0.010917
1.199000 0.690303 -0.009446 -0.001473 -0.006617
1.219000 0.734297 -0.003665 -0.001419 -0.000273
1.239000 0.779394 0.004424 -0.001337 0.008070
1.259000 0.825104 0.013902 -0.001316 0.017160
1.279000 0.870609 0.021055 -0.001485 0.023220
1.299000 0.917107 0.026042 -0.001562 0.026727
1.319000 0.965041 0.029019 -0.001526 0.027896
1.339000 1.014370 0.029963 -0.001478 0.026928
1.359000 1.065119 0.028719 -0.001441 0.024039
1.379000 1.117477 0.025316 -0.001358 0.019138
1.399000 1.171165 0.019800 -0.001310 0.012461
1.419000 1.225712 0.013832 -0.001435 0.005822
1.439000 1.280979 0.009906 -0.001568 0.001562
1.459000 1.336485 0.006707 -0.001625 -0.002045
1.479000 1.391894 0.002033 -0.001646 -0.006781
1.499000 1.447266 -0.003308 -0.001652 -0.011790
1.519000 1.501900 -0.006274 -0.001622 -0.013426
1.539000 1.556027 -0.005989 -0.001524 -0.012226
1.559000 1.609657 -0.002948 -0.001468 -0.008330
1.579000 1.662737 0.002889 -0.001455 -0.001855
1.599000 1.715839 0.011416 -0.001410 0.006975
1.619000 1.768391 0.019114 -0.001435 0.013879
1.639000 1.820325 0.023850 -0.001549 0.017556
1.659000 1.871889 0.025710 -0.001545 0.018351
1.679000 1.923419 0.024880 -0.001477 0.016434
1.699000 1.975603 0.021694 -0.001418 0.012212
1.719000 2.029224 0.016877 -0.001422 0.006691
1.739000 2.083835 0.011887 -0.001546 0.001290
1.759000 2.139104 0.008292 -0.001618 -0.002260
1.779000 2.194575 0.007261 -0.001633 -0.002914
1.799000 2.250080 0.007710 -0.001632 -0.002586
1.819000 2.305425 0.006927 -0.001643 -0.003812
1.839000 2.360789 0.003256 -0.001611 -0.007282
1.859000 2.416020 -0.000934 -0.001613 -0.010747
1.879000 2.470649 -0.001922 -0.001542 -0.010584
1.899000 2.525115 0.000075 -0.001446 -0.007930
1.919000 2.579109 0.004785 -0.001419 -0.002588
1.939000 2.632922 0.012243 -0.001414 0.005179
1.959000 2.686735 0.021145 -0.001361 0.013675
1.979000 2.739527 0.027307 -0.001499 0.018590
1.999000 2.791801 0.030573 -0.001567 0.020690
2.019000 2.843571 0.031036 -0.001530 0.019831
2.039000 2.895113 0.028765 -0.001472 0.016337
2.059000 2.947315 0.024120 -0.001419 0.010691
2.079000 3.001018 0.017499 -0.001363 0.003364
2.099000 3.055517 0.009650 -0.001467 -0.004848
2.119000 3.110095 0.003599 -0.001549 -0.010288
2.139000 3.165035 0.000563 -0.001423 -0.012449
2.159000 3.220252 0.000162 -0.001323 -0.012164
2.179000 3.275571 0.002299 -0.001346 -0.009314
2.199000 3.331109 0.006405 -0.001350 -0.004676
2.219000 3.386389 0.009269 -0.001468 -0.001975
2.239000 3.441468 0.008927 -0.001473 -0.002438
2.259000 3.496529 0.005715 -0.001378 -0.005574
2.279000 3.551379 -0.000166 -0.001360 -0.011219
2.299000 3.606330 -0.008317 -0.001321 -0.018918
2.319000 3.660257 -0.015231 -0.001421 -0.024507
2.339000 3.713350 -0.019422 -0.001551 -0.026816
2.359000 3.765751 -0.020630 -0.001564 -0.026294
2.379000 3.817564 -0.018995 -0.001512 -0.022961
2.399000 3.869175 -0.014632 -0.001461 -0.017150
2.419000 3.922092 -0.008193 -0.001413 -0.009644
2.439000 3.976263 -0.000229 -0.001479 -0.000919
2.459000 4.030989 0.007428 -0.001584 0.006760
2.479000 4.086073 0.011934 -0.001479 0.010595
2.499000 4.141602 0.014100 -0.001302 0.012358
2.519000 4.197097 0.014527 -0.001357 0.011777
2.539000 4.252566 0.012141 -0.001359 0.008751
2.559000 4.308022 0.007983 -0.001354 0.004065
2.579000 4.363365 0.002410 -0.001467 -0.001923
2.599000 4.418787 -0.003868 -0.001578 -0.008173
2.619000 4.473760 -0.007723 -0.001609 -0.011143
2.639000 4.528293 -0.008399 -0.001535 -0.011077
2.659000 4.582399 -0.006329 -0.001473 -0.008243
2.679000 4.635946 -0.001488 -0.001461 -0.002774
2.699000 4.689348 0.006115 -0.001419 0.005151
2.719000 4.742004 0.012531 -0.001449 0.010738
2.739000 4.794094 0.015929 -0.001550 0.013327
2.759000 4.845829 0.016462 -0.001531 0.013050
2.779000 4.897694 0.014353 -0.001453 0.010164
2.799000 4.950396 0.009972 -0.001395 0.005065
2.819000 5.004273 0.004302 -0.001421 -0.000786
2.839000 5.059099 0.000093 -0.001554 -0.004954
2.859000 5.114585 -0.002744 -0.001621 -0.007477
2.879000 5.170122 -0.002903 -0.001614 -0.006958
2.899000 5.225686 -0.001102 -0.001576 -0.004986
2.919000 5.281154 0.002122 -0.001613 -0.001349
2.939000 5.336686 0.006864 -0.001636 0.003529
2.959000 5.392199 0.010834 -0.001650 0.007079
2.979000 5.447297 0.011163 -0.001517 0.006782
2.999000 5.502310 0.008692 -0.001400 0.003905
3.019000 5.556940 0.003540 -0.001382 -0.001643
3.039000 5.611404 -0.004365 -0.001382 -0.009560
3.059000 5.665792 -0.013635 -0.001332 -0.018274
3.079000 5.719241 -0.020329 -0.001488 -0.023518
3.099000 5.772094 -0.024195 -0.001574 -0.025858
3.119000 5.824398 -0.025235 -0.001550 -0.025239
3.139000 5.876315 -0.023487 -0.001492 -0.021918
3.159000 5.928574 -0.019183 -0.001435 -0.016293
3.179000 5.982262 -0.012691 -0.001331 -0.008694
3.199000 6.036877 -0.004315 -0.001313 0.000405
3.219000 6.091467 0.003053 -0.001458 0.007572
3.239000 6.146388 0.007550 -0.001451 0.011269
3.259000 6.201595 0.009223 -0.001350 0.012307
3.279000 6.256824 0.008264 -0.001361 0.010708
3.299000 6.312202 0.005080 -0.001330 0.006961
3.319000 6.367612 0.000143 -0.001378 0.001328
3.339000 6.422875 -0.006607 -0.001419 -0.005705
3.359000 6.478032 -0.013609 -0.001541 -0.012381
3.379000 6.532596 -0.017792 -0.001584 -0.015395
3.399000 6.586827 -0.019028 -0.001534 -0.015652
3.419000 6.640439 -0.017531 -0.001493 -0.013094
3.439000 6.693345 -0.013225 -0.001489 -0.007856
3.459000 6.746072 -0.006138 -0.001446 -0.000212
3.479000 6.799904 0.003284 -0.001325 0.009446
3.499000 6.854397 0.014457 -0.001318 0.020415
3.519000 6.908207 0.024434 -0.001487 0.029120
3.539000 6.961533 0.031838 -0.001577 0.034193
3.559000 7.014541 0.036298 -0.001556 0.036455
3.579000 7.067258 0.037989 -0.001500 0.035909
3.599000 7.119961 0.036992 -0.001449 0.032775
3.619000 7.173640 0.033622 -0.001377 0.027508
3.639000 7.228454 0.028188 -0.001309 0.020416
3.659000 7.283660 0.021323 -0.001366 0.012272
3.679000 7.339166 0.014294 -0.001527 0.004421
3.699000 7.394827 0.008081 -0.001612 -0.002260
3.719000 7.450382 0.001612 -0.001643 -0.008726
3.739000 7.505752 -0.005343 -0.001652 -0.015305
3.759000 7.560643 -0.011934 -0.001656 -0.020985
3.779000 7.614502 -0.015309 -0.001593 -0.022999
3.799000 7.667818 -0.015970 -0.001531 -0.022173
3.819000 7.720498 -0.013871 -0.001500 -0.018604
3.839000 7.772747 -0.008962 -0.001468 -0.012475
3.859000 7.825492 -0.001577 -0.001412 -0.004243
3.879000 7.879558 0.007613 -0.001408 0.005418
3.899000 7.934189 0.017724 -0.001532 0.015483
3.919000 7.988560 0.025694 -0.001597 0.022261
3.939000 8.042695 0.030801 -0.001548 0.025661
3.959000 8.096731 0.033042 -0.001480 0.026401
3.979000 8.150862 0.032635 -0.001420 0.024460
3.999000 8.205474 0.029710 -0.001353 0.020193
4.019000 8.260664 0.024729 -0.001307 0.013935
4.039000 8.315954 0.018322 -0.001384 0.006588
4.059000 8.371437 0.011516 -0.001538 -0.000721
4.079000 8.427022 0.005438 -0.001616 -0.006964
4.099000 8.482511 -0.000939 -0.001644 -0.013082
4.119000 8.537178 -0.005589 -0.001632 -0.016631
4.139000 8.591227 -0.007094 -0.001554 -0.017102
4.159000 8.644712 -0.005899 -0.001506 -0.014766
4.179000 8.697467 -0.001896 -0.001489 -0.009727
4.199000 8.749811 0.004934 -0.001453 -0.002178
4.219000 8.801575 0.010954 -0.001469 0.003436
4.239000 8.852972 0.013842 -0.001537 0.005945
4.259000 8.904521 0.013961 -0.001492 0.005789
4.279000 8.957268 0.011891 -0.001407 0.003327
4.299000 9.011272 0.007676 -0.001356 -0.001181
4.319000 9.065812 0.002898 -0.001406 -0.005588
4.339000 9.120846 0.000672 -0.001548 -0.007422
4.359000 9.176378 0.000258 -0.001610 -0.007525
4.379000 9.231942 0.002076 -0.001625 -0.005163
4.399000 9.287472 0.005116 -0.001635 -0.002012
4.419000 9.342717 0.005927 -0.001603 -0.001466
4.439000 9.397918 0.003343 -0.001380 -0.003923
4.459000 9.453109 -0.000726 -0.001293 -0.007592
4.479000 9.507767 -0.002180 -0.001464 -0.008163
4.499000 9.562131 -0.000579 -0.001506 -0.006031
4.519000 9.616064 0.003897 -0.001434 -0.001047
4.539000 9.669624 0.011135 -0.001421 0.006406
4.559000 9.723144 0.020026 -0.001372 0.014842
4.579000 9.775688 0.026179 -0.001499 0.019669
4.599000 9.827762 0.029441 -0.001564 0.021706
4.619000 9.879509 0.029911 -0.001519 0.020840
4.639000 9.931336 0.027741 -0.001450 0.017420
4.659000 9.984123 0.023357 -0.001398 0.011959
4.679000 10.038283 0.017177 -0.001392 0.004998
4.699000 10.093057 0.010101 -0.001518 -0.002466
4.719000 10.148095 0.005129 -0.001567 -0.006921
4.739000 10.203392 0.003264 -0.001386 -0.008225
4.759000 10.258852 0.003705 -0.001296 -0.007306
4.779000 10.314311 0.006551 -0.001342 -0.003955
4.799000 10.369859 0.011216 -0.001377 0.000946
4.819000 10.424979 0.014495 -0.001506 0.003734
4.839000 10.479763 0.014598 -0.001509 0.003374
4.859000 10.534328 0.011781 -0.001424 0.000281
4.879000 10.588573 0.006246 -0.001404 -0.005387
4.899000 10.642952 -0.001903 -0.001359 -0.013357
4.919000 10.696671 -0.009233 -0.001401 -0.019574
4.939000 10.749649 -0.013673 -0.001542 -0.022621
4.959000 10.802042 -0.015236 -0.001566 -0.022734
4.979000 10.853986 -0.013970 -0.001510 -0.020036
4.999000 10.905923 -0.010053 -0.001450 -0.014867
5.019000 10.959284 -0.004224 -0.001417 -0.008124
5.039000 11.013763 0.002734 -0.001518 -0.000545
5.059000 11.068676 0.008756 -0.001605 0.005369
5.079000 11.123667 0.011391 -0.001481 0.007264
5.099000 11.178883 0.011259 -0.001326 0.006854
5.119000 11.234377 0.008923 -0.001303 0.004045
5.139000 11.289848 0.004953 -0.001378 -0.000111
5.159000 11.345241 0.000339 -0.001531 -0.004653
5.179000 11.400528 -0.004652 -0.001613 -0.009452
5.199000 11.455830 -0.009646 -0.001643 -0.014077
5.219000 11.510571 -0.012970 -0.001634 -0.016381
5.239000 11.564654 -0.013059 -0.001540 -0.015427
5.259000 11.618195 -0.010412 -0.001480 -0.011726
5.279000 11.671090 -0.004953 -0.001466 -0.005420
5.299000 11.723830 0.003255 -0.001427 0.003284
5.319000 11.775974 0.010573 -0.001448 0.009975
5.339000 11.827587 0.014889 -0.001549 0.013491
5.359000 11.878952 0.016350 -0.001533 0.014170
5.379000 11.930537 0.015221 -0.001459 0.012220
5.399000 11.983138 0.011894 -0.001403 0.008073
5.419000 12.037073 0.007103 -0.001421 0.002904
5.439000 12.091886 0.003077 -0.001551 -0.001256
5.459000 12.147358 0.000368 -0.001620 -0.003875
5.479000 12.202906 -0.000181 -0.001642 -0.004027
5.499000 12.258405 0.000471 -0.001648 -0.003459
5.519000 12.313791 0.002223 -0.001652 -0.001220
5.539000 12.369207 0.006606 -0.001589 0.003559
5.559000 12.424512 0.011631 -0.001583 0.008272
5.579000 12.479249 0.013638 -0.001541 0.009208
5.599000 12.533791 0.012653 -0.001458 0.007567
5.619000 12.587853 0.008906 -0.001431 0.003241
5.639000 12.641498 0.002368 -0.001434 -0.003638
5.659000 12.694999 -0.005919 -0.001374 -0.011554
5.679000 12.747579 -0.011395 -0.001500 -0.015893
5.699000 12.799668 -0.013961 -0.001567 -0.017472
5.719000 12.851494 -0.013745 -0.001522 -0.016196
5.739000 12.903509 -0.010939 -0.001446 -0.012397
5.759000 12.956567 -0.005971 -0.001392 -0.006625
5.779000 13.010964 0.000513 -0.001438 0.000389
5.799000 13.065934 0.007317 -0.001561 0.007281
5.819000 13.121082 0.011654 -0.001574 0.010726
5.839000 13.176379 0.012731 -0.001389 0.011134
5.859000 13.231810 0.011406 -0.001300 0.009149
5.879000 13.287280 0.007818 -0.001322 0.005022
5.899000 13.342720 0.003001 -0.001439 -0.000067
5.919000 13.398019 -0.002671 -0.001569 -0.005854
5.939000 13.453181 -0.008930 -0.001627 -0.011931
5.959000 13.508104 -0.014459 -0.001648 -0.016693
5.979000 13.562242 -0.016701 -0.001582 -0.017824
