# stamp x y z yaw
2.512000 3.183640 -0.077730 -0.003006 -0.057332
2.532000 3.219543 -0.079263 -0.003079 -0.056643
2.552000 3.255792 -0.080554 -0.003179 -0.055756
2.572000 3.291546 -0.081387 -0.003229 -0.054152
2.592000 3.327203 -0.081712 -0.003231 -0.052197
2.612000 3.362202 -0.081365 -0.003205 -0.049652
2.632000 3.395353 -0.079715 -0.003161 -0.046286
2.652000 3.427398 -0.077146 -0.003102 -0.042157
2.672000 3.457478 -0.073203 -0.002828 -0.036479
2.692000 3.486075 -0.067957 -0.002811 -0.030085
2.712000 3.513054 -0.061872 -0.002911 -0.022718
2.732000 3.537762 -0.054397 -0.003017 -0.014453
2.752000 3.560811 -0.045787 -0.002736 -0.005222
2.772000 3.581910 -0.036270 -0.002717 0.005052
2.792000 3.602766 -0.026107 -0.002029 0.015463
2.812000 3.624692 -0.015773 -0.001512 0.025884
2.832000 3.646932 -0.004643 -0.001562 0.036726
2.852000 3.669136 0.007163 -0.001619 0.047951
2.872000 3.691362 0.017933 -0.001625 0.055558
2.892000 3.713767 0.027128 -0.001765 0.060918
2.912000 3.735957 0.034667 -0.001675 0.064136
2.932000 3.758106 0.040628 -0.001632 0.065422
2.952000 3.780249 0.045224 -0.001533 0.065149
2.972000 3.802546 0.048674 -0.001456 0.063556
2.992000 3.825083 0.051202 -0.001387 0.060824
3.012000 3.848216 0.053020 -0.001345 0.057287
3.032000 3.872541 0.054164 -0.001335 0.053482
3.052000 3.897683 0.054640 -0.001347 0.049204
3.072000 3.924872 0.054403 -0.001392 0.045381
3.092000 3.953855 0.053475 -0.001426 0.041654
3.112000 3.984372 0.052040 -0.001471 0.037601
3.132000 4.016949 0.050260 -0.001517 0.033362
3.152000 4.051466 0.048072 -0.001576 0.028793
3.172000 4.087257 0.045077 -0.001570 0.024031
3.192000 4.124510 0.040886 -0.001533 0.018598
3.212000 4.163518 0.035598 -0.001522 0.012288
3.232000 4.203830 0.028367 -0.001415 0.004042
3.252000 4.245244 0.019025 -0.001338 -0.006140
3.272000 4.287696 0.007635 -0.001482 -0.017708
3.292000 4.331200 -0.005775 -0.001585 -0.030448
3.312000 4.375579 -0.019212 -0.001631 -0.042004
3.332000 4.419555 -0.030513 -0.001998 -0.050100
3.352000 4.463453 -0.039533 -0.002798 -0.055705
3.372000 4.506478 -0.045937 -0.003951 -0.058704
3.392000 4.548534 -0.049925 -0.005422 -0.059198
3.412000 4.589687 -0.051528 -0.007148 -0.057209
3.432000 4.629980 -0.050587 -0.008727 -0.052493
3.452000 4.669165 -0.046545 -0.009549 -0.044951
3.472000 4.707165 -0.039470 -0.009719 -0.034711
3.492000 4.744885 -0.027133 -0.007674 -0.017826
3.512000 4.785164 -0.011815 -0.005728 0.000574
3.532000 4.827971 0.005945 -0.004014 0.019013
3.552000 4.873061 0.024437 -0.003175 0.036915
3.572000 4.916395 0.038811 -0.001498 0.049026
