# stamp x y z yaw
0.457000 0.000005 0.000000 -0.001646 0.000000
0.477000 0.000007 0.000000 -0.001654 0.000000
0.497000 0.000009 0.000000 -0.001656 0.000000
0.517000 0.000011 0.000000 -0.001657 0.000000
0.537000 0.000012 0.000000 -0.001657 0.000000
0.557000 0.000014 0.000000 -0.001657 0.000000
0.577000 0.000016 0.000000 -0.001657 0.000000
0.597000 0.000018 0.000000 -0.001657 0.000000
0.617000 0.000019 0.000000 -0.001657 0.000000
0.637000 0.000021 0.000000 -0.001657 0.000000
0.657000 0.000023 0.000000 -0.001657 0.000000
0.677000 0.000025 0.000000 -0.001657 0.000000
0.697000 0.000026 0.000000 -0.001657 0.000000
0.717000 0.000028 0.000000 -0.001657 0.000000
0.737000 0.000030 0.000000 -0.001657 0.000000
0.757000 0.000032 0.000000 -0.001657 0.000000
0.777000 0.000033 0.000000 -0.001657 0.000000
0.797000 0.000035 0.000000 -0.001657 0.000000
0.817000 0.000037 0.000000 -0.001657 0.000000
0.837000 0.000039 0.000000 -0.001657 0.000000
0.857000 0.000040 0.000000 -0.001657 0.000000
0.877000 0.000042 0.000000 -0.001657 0.000000
0.897000 0.000044 0.000000 -0.001657 0.000000
0.917000 0.000175 -0.000023 -0.001657 -0.000012
0.937000 0.002689 -0.000411 -0.001655 -0.000418
0.957000 0.007193 -0.000825 -0.001655 -0.000840
0.977000 0.013641 -0.000669 -0.001655 -0.000863
0.997000 0.022026 -0.000264 -0.001656 -0.000439
1.017000 0.032355 0.000138 -0.001656 0.000000
1.037000 0.044629 0.000556 -0.001656 0.000429
1.057000 0.058849 0.000988 -0.001656 0.000849
1.077000 0.074785 0.000794 -0.001656 0.000850
1.097000 0.091898 -0.001514 -0.001648 -0.001559
1.117000 0.110383 -0.005536 -0.001643 -0.005607
1.137000 0.130094 -0.007578 -0.001563 -0.007350
1.157000 0.151181 -0.007338 -0.001379 -0.006669
1.177000 0.173368 -0.005145 -0.001347 -0.004020
1.197000 0.196245 -0.001065 -0.001409 0.000323
1.217000 0.220965 0.003559 -0.001512 0.004845
1.237000 0.247561 0.008456 -0.001594 0.009608
1.257000 0.275834 0.013777 -0.001628 0.014725
1.277000 0.304824 0.018539 -0.001641 0.018332
1.297000 0.333558 0.021993 -0.001641 0.019964
1.317000 0.362531 0.024452 -0.001589 0.020769
1.337000 0.391545 0.026796 -0.001628 0.021050
1.357000 0.420511 0.028571 -0.001647 0.020445
1.377000 0.449481 0.029644 -0.001653 0.019113
1.397000 0.478461 0.030048 -0.001656 0.017025
1.417000 0.507449 0.029677 -0.001656 0.014300
1.437000 0.536450 0.028457 -0.001657 0.011028
1.457000 0.565464 0.026402 -0.001657 0.007198
1.477000 0.594493 0.023542 -0.001657 0.002791
1.497000 0.623541 0.019974 -0.001656 -0.002287
1.517000 0.652606 0.015665 -0.001656 -0.007921
1.537000 0.681637 0.010652 -0.001627 -0.013683
1.557000 0.710904 0.005348 -0.001667 -0.019376
1.577000 0.739941 0.000350 -0.001787 -0.023528
1.597000 0.768920 -0.003797 -0.001702 -0.025716
1.617000 0.797828 -0.006811 -0.001661 -0.026623
1.637000 0.826704 -0.008775 -0.001625 -0.026414
1.657000 0.855514 -0.009823 -0.001594 -0.025341
1.677000 0.884227 -0.009741 -0.001523 -0.023022
1.697000 0.912768 -0.008584 -0.001473 -0.019641
1.717000 0.941160 -0.006619 -0.001460 -0.015545
1.737000 0.969371 -0.003876 -0.001471 -0.010822
1.757000 0.997465 -0.000409 -0.001516 -0.005429
1.777000 1.026751 0.003697 -0.001575 -0.000175
1.797000 1.058354 0.008045 -0.001615 0.004607
1.817000 1.091996 0.012525 -0.001634 0.009179
1.837000 1.127017 0.014463 -0.001555 0.010395
1.857000 1.163376 0.014096 -0.001421 0.009402
1.877000 1.200684 0.011744 -0.001400 0.006406
1.897000 1.238463 0.007331 -0.001460 0.001445
1.917000 1.276541 0.000581 -0.001456 -0.005639
1.937000 1.313103 -0.009246 -0.001404 -0.015426
1.957000 1.348612 -0.021758 -0.001379 -0.027501
1.977000 1.383450 -0.035263 -0.001439 -0.039460
1.997000 1.418360 -0.048444 -0.001678 -0.048955
2.017000 1.453895 -0.061719 -0.002006 -0.055941
2.037000 1.490143 -0.074999 -0.002348 -0.060823
2.057000 1.527619 -0.087454 -0.002679 -0.065014
2.077000 1.566589 -0.099760 -0.002813 -0.067850
2.097000 1.606938 -0.112116 -0.002934 -0.069341
2.117000 1.649143 -0.124057 -0.003137 -0.070379
2.137000 1.692903 -0.135215 -0.002995 -0.070527
2.157000 1.738371 -0.145979 -0.003041 -0.070147
2.177000 1.785799 -0.155851 -0.003152 -0.069715
2.197000 1.835215 -0.164584 -0.003263 -0.069645
