# stamp x y z yaw
2.622000 4.408813 0.216133 -0.001654 0.039437
2.642000 4.464306 0.219301 -0.001653 0.040331
2.662000 4.519769 0.222618 -0.001654 0.041640
2.682000 4.575080 0.228452 -0.001649 0.045178
2.702000 4.630424 0.235154 -0.001648 0.049483
2.722000 4.685691 0.242239 -0.001652 0.054110
2.742000 4.740807 0.250267 -0.001653 0.059313
2.762000 4.795924 0.257776 -0.001655 0.063583
2.782000 4.851239 0.262165 -0.001558 0.064608
2.802000 4.906742 0.264744 -0.001432 0.063721
2.822000 4.962255 0.266107 -0.001501 0.061380
2.842000 5.017802 0.266823 -0.001587 0.058616
2.862000 5.073338 0.267953 -0.001632 0.056318
2.882000 5.128886 0.268778 -0.001648 0.053915
2.902000 5.184429 0.269247 -0.001653 0.051296
2.922000 5.239979 0.269973 -0.001654 0.049095
2.942000 5.295520 0.270962 -0.001655 0.047250
2.962000 5.351042 0.272343 -0.001655 0.046048
2.982000 5.406505 0.275763 -0.001654 0.046792
3.002000 5.461987 0.279161 -0.001654 0.047645
3.022000 5.517399 0.283659 -0.001654 0.049618
3.042000 5.572786 0.289040 -0.001654 0.052303
3.062000 5.628137 0.294681 -0.001655 0.055293
3.082000 5.683306 0.302385 -0.001655 0.060006
3.102000 5.738524 0.310408 -0.001655 0.064908
3.122000 5.793930 0.316585 -0.001654 0.067595
3.142000 5.849358 0.321203 -0.001650 0.068628
3.162000 5.904758 0.325782 -0.001653 0.069247
3.182000 5.960255 0.327929 -0.001651 0.067607
3.202000 6.015766 0.329460 -0.001651 0.065330
3.222000 6.071265 0.331071 -0.001654 0.063160
3.242000 6.126767 0.332301 -0.001656 0.060794
3.262000 6.182281 0.333679 -0.001657 0.058730
3.282000 6.237789 0.335699 -0.001657 0.057386
3.302000 6.293294 0.337487 -0.001657 0.055947
3.322000 6.348757 0.340051 -0.001657 0.055385
3.342000 6.404232 0.343054 -0.001657 0.055272
3.362000 6.459647 0.346289 -0.001657 0.055567
3.382000 6.514972 0.351722 -0.001655 0.057878
3.402000 6.570335 0.357318 -0.001655 0.060384
3.422000 6.625620 0.363685 -0.001656 0.063554
3.442000 6.680820 0.370876 -0.001656 0.067357
3.462000 6.736062 0.377696 -0.001656 0.070535
3.482000 6.791431 0.382985 -0.001655 0.072067
3.502000 6.846770 0.388431 -0.001655 0.073568
3.522000 6.902167 0.392862 -0.001655 0.073895
3.542000 6.957596 0.396395 -0.001655 0.073366
3.562000 7.013024 0.399923 -0.001656 0.072712
3.582000 7.068521 0.402142 -0.001655 0.070889
3.602000 7.124024 0.404369 -0.001656 0.069091
3.622000 7.179517 0.406782 -0.001657 0.067595
3.642000 7.235008 0.409136 -0.001657 0.066135
3.662000 7.290492 0.411637 -0.001657 0.064971
3.682000 7.345918 0.415386 -0.001656 0.065028
3.702000 7.401359 0.419014 -0.001657 0.065069
3.722000 7.456747 0.423584 -0.001656 0.066069
3.742000 7.512115 0.428630 -0.001656 0.067489
3.762000 7.567453 0.433919 -0.001657 0.069202
3.782000 7.622633 0.441169 -0.001655 0.072651
3.802000 7.677846 0.448587 -0.001655 0.076198
3.822000 7.733086 0.455687 -0.001656 0.079218
3.842000 7.788318 0.462768 -0.001656 0.082030
3.862000 7.843542 0.469550 -0.001656 0.084259
3.882000 7.898938 0.473905 -0.001652 0.084058
3.902000 7.954351 0.477814 -0.001652 0.083291
3.922000 8.009782 0.481506 -0.001654 0.082265
3.942000 8.065225 0.484798 -0.001655 0.080950
3.962000 8.120664 0.488140 -0.001656 0.079742
3.982000 8.176105 0.491481 -0.001656 0.078605
4.002000 8.231550 0.494748 -0.001656 0.077465
4.022000 8.286966 0.498480 -0.001657 0.076867
4.042000 8.342379 0.502372 -0.001657 0.076465
4.062000 8.397770 0.506550 -0.001657 0.076463
4.082000 8.453073 0.512214 -0.001656 0.077855
4.102000 8.508391 0.517777 -0.001656 0.079169
4.122000 8.563640 0.524110 -0.001657 0.081208
4.142000 8.618838 0.531106 -0.001656 0.083791
4.162000 8.674037 0.538109 -0.001657 0.086282
4.182000 8.729155 0.545699 -0.001657 0.089195
4.202000 8.784220 0.553547 -0.001657 0.092231
4.222000 8.839412 0.560137 -0.001656 0.093778
4.242000 8.894698 0.565935 -0.001655 0.094449
4.262000 8.949971 0.571725 -0.001656 0.094938
4.282000 9.005353 0.575956 -0.001655 0.093946
4.302000 9.060719 0.580308 -0.001656 0.093028
4.322000 9.116096 0.584603 -0.001656 0.092110
4.342000 9.171481 0.588780 -0.001656 0.091137
4.362000 9.226854 0.593101 -0.001657 0.090397
4.382000 9.282186 0.598032 -0.001657 0.090263
4.402000 9.337529 0.602874 -0.001657 0.090101
4.422000 9.392823 0.608372 -0.001657 0.090617
4.442000 9.448104 0.614100 -0.001657 0.091340
4.462000 9.503355 0.620082 -0.001657 0.092364
4.482000 9.558472 0.627595 -0.001656 0.094780
4.502000 9.613601 0.635120 -0.001656 0.097169
4.522000 9.668647 0.643268 -0.001656 0.100068
4.542000 9.723587 0.652114 -0.001656 0.103505
4.562000 9.778576 0.660531 -0.001657 0.106266
4.582000 9.833783 0.667067 -0.001655 0.107052
4.602000 9.888974 0.673845 -0.001656 0.107901
